# This is the spectrum from 50 TeV dark matter annihilating into tau/taubar. It
# presumes a <sigma*v> of 5x10**-22 with a J factor of 7.7e18. 
#
# Spectrum generated by John Pretz <john.pretz@gmail.com>
# November 2012
#
Energy [TeV]       Flux [1./(cm2*second*TeV)]
          0.01     1.80296673772e-11
           0.5     3.44854349332e-14
0.561009227151     3.31795866062e-14
0.629462705897     3.19231863971e-14
0.706268772311     3.07143618707e-14
0.792446596231     2.95513114948e-14
0.889139705019     2.83246570656e-14
0.997631157484     2.71109230479e-14
 1.11936056928     2.59491984953e-14
 1.25594321575     2.48372547611e-14
 1.40919146563     2.37729586977e-14
 1.58113883008     2.27542685647e-14
 1.77406694617     2.14957422072e-14
 1.99053585277     2.00907915853e-14
 2.23341796075     1.87776678113e-14
 2.50593616814     1.75503691298e-14
 2.81170662595      1.6403286057e-14
  3.1547867224     1.53247809519e-14
 3.53972892192     1.41908196339e-14
 3.97164117362     1.31407660907e-14
 4.45625469067      1.2168411544e-14
           5.0     1.12680066354e-14
 5.61009227151     1.04342274319e-14
 6.29462705897     9.25077118015e-15
 7.06268772311     8.09208030118e-15
 7.92446596231     7.07851943644e-15
 8.89139705019     6.19191055293e-15
 9.97631157484     5.34243094778e-15
 11.1936056928     4.38193354417e-15
 12.5594321575     3.59412068648e-15
 14.0919146563     2.94794601031e-15
 15.8113883008     2.41794487103e-15
 17.7406694617     1.82366877629e-15
 19.9053585277      1.3424152959e-15
 22.3341796075     9.88161254989e-16
 25.0593616814     6.95187889268e-16
 28.1170662595      4.7284964096e-16
  31.547867224     3.21620653074e-16
 35.3972892192     1.90607383631e-16
 39.7164117362     1.08258029976e-16
 44.5625469067     6.19421388611e-17
          50.0     1.22036449981e-20
